Unnamed: 0,Kanji,Onyomi,Kunyomi,Kanji Meaning,JLPT
635,児,jiジ,koこ,newborn babe; child,N2
636,余,yoヨ,ama(ru)あま(る),"too much, surplus",N3
637,禁,kinキン,,prohibition; ban; forbid,N2
638,印,inイン,shirushiしるし,stamp; seal; mark; symbol; trademark,N2
639,逆,gyakuギャク,saka(rau)さか(らう),inverted; reverse; opposite,N2
640,王,ouオウ,,"king, rule",N3
641,久,"kyuu, kuキュウ、 ク",hisa(shii)ひさ(しい),long time; old story,N2
642,短,tanタン,mijika(i)みじか(い),short; fault; defect; weak point,N2
643,,,,,
644,油,yuユ,aburaあぶら,oil; fat,N2
645,妻,saiサイ,tsumaつま,"wife, spouse",N3
646,暴,"bou, bakuボウ、 バク",aba(ku)あば(く),outburst; force; violence,N2
647,輪,rinリン,waわ,wheel; ring; circle; link; loop; counter for wheels and flowers,N2
648,占,senセン,"shi(meru), urana(u)し(める)、 うらな(う)",fortune-telling; divining; forecasting,N2
649,背,haiハイ,"se, seiせ、せい","stature, height, back",N3
650,植,shokuショク,u(eru)う(える),plant,N2
651,熱,netsuネツ,atsu(i)あつ(い),"heat, fever, passion",N3
652,宿,shukuシュク,yadoやど,"inn, lodging",N3
653,薬,yakuヤク,kusuriくすり,"medicine, chemical",N3
654,清,seiセイ,kiyo(i)きよ(い),pure; purify; cleanse,N2
655,習,shuuシュウ,nara(u)なら(う),learn,N4
656,険,kenケン,kewa(shii)けわ(しい),"precipitous, inaccessible place",N3
657,頼,raiライ,"tano(mu), tayo(ru)たの(む)、 たよ(る)","trust, request",N3
658,覚,kakuカク,"obo(eru), sa(masu)おぼ(える)、 さ(ます)","memorize, learn, remember, awake",N3
659,船,senセン,"fune, funaふね、ふな","ship, boat",N3
660,倍,baiバイ,,double; twice; times; fold,N2
661,均,kinキン,nara(su)なら(す),level; average,N2
662,億,okuオク,,hundred million; 10**8,N2
663,途,toト,michiみち,"route, way, road",N3
664,,,,,
665,圧,atsuアツ,o(su)お(す),pressure; push; overwhelm; oppress,N2
666,芸,geiゲイ,,technique; art; craft; performance; acting,N2
667,許,kyoキョ,yuru(su)ゆる(す),"permit, approve",N3
668,駅,ekiエキ,,station,N4
670,抜,batsuバツ,nu(ku)ぬ(く),"slip out, extract, pull out, remove",N3
671,便,"ben, binベン、 ビン",tayo(ri)たよ(り),"convenience, facility",N3
672,伸,shinシン,no(biru)の(びる),expand; stretch; extend,N2
673,留,"ryuu, ruリュウ、 ル","to(maru), todo(meru)と(まる)、 とど(める)","detain, fasten, halt, stop",N3
674,罪,zaiザイ,tsumiつみ,"guilt, sin, crime",N3
675,,,,,
676,停,teiテイ,to(meru)と(める),halt; stopping,N2
677,爆,bakuバク,ha(zeru)は(ぜる),bomb; burst open,N2
678,陸,"riku, rokuリク、 ロク",okaおか,land; six,N2
679,玉,gyokuギョク,tamaたま,jewel; ball,N2
680,波,haハ,namiなみ,waves; billows,N2
681,帯,taiタイ,o(biru)お(びる),sash; belt; obi; zone; region,N2
682,延,enエン,no(biru)の(びる),prolong; stretching,N2
683,羽,uウ,"ha, wa, haneは、 わ、 はね","feathers; counter for birds, rabbits",N2
684,努,doド,tsuto(meru)つと(める),"toil, diligent, as much as possible",N3
685,固,koコ,kata(meru)かた(める),harden; set; clot; curdle,N2
686,精,"sei, shouセイ、ショウ",shira(geru)しら(げる),"refined, ghost, fairy, energy",N3
687,則,sokuソク,notto(ru)のっと(る),rule; follow; based on,N2
688,乱,ranラン,mida(reru)みだ(れる),riot; war; disorder; disturb,N2
689,普,fuフ,amane(ku)あまね(く),universal; generally,N2
690,散,sanサン,"chi(ru), bara(keru)ち(る)、ばら(ける)","scatter, disperse",N3
691,測,sokuソク,haka(ru)はか(る),fathom; plan; scheme; measure,N2
692,豊,"hou, buホウ、 ブ","yuta(ka), toyoゆた(か)、 とよ",bountiful; excellent; rich,N2
693,洋,youヨウ,,"ocean, sea, foreign, Western style",N4
694,静,"sei, jouセイ、ジョウ",shizu(ka)しず(か),quiet,N3
695,婚,konコン,,marriage,N3
696,厚,kouコウ,atsu(i)あつ(い),thick; heavy; rich,N2
697,喜,kiキ,yoroko(bu)よろこ(ぶ),"rejoice, take pleasure in",N3
698,齢,reiレイ,"yowai, toshiよわい、 とし",age,N2
699,囲,iイ,kako(mu)かこ(む),surround; enclosure; preserve; keep,N2
700,卒,sotsuソツ,so(ssuru)そっ(する),graduate; soldier; private; die,N2
701,略,ryakuリャク,hoboほぼ,abbreviation; omission; outline; shorten,N2
702,承,shouショウ,uketamawa(ru)うけたまわ(る),hear; listen to; be informed; receive,N2
703,浮,fuフ,u(kabu)う(かぶ),"float, rise to surface",N3
704,順,junジュン,,obey; order; turn; occasion,N2
705,旅,ryoリョ,tabiたび,"trip, travel",N4
706,,,,,
707,絶,zetsuゼツ,ta(eru)た(える),"discontinue, unparalleled",N3
708,幸,kouコウ,"saiwa(i), sara, shiawa(se)さいわ(い)、さち、 しあわ(せ)","happiness, blessing, fortune",N3
709,岩,ganガン,iwaいわ,boulder; rock; cliff,N2
710,練,renレン,ne(ru)ね(る),"practice, gloss, train, drill, polish, refine",N2
711,押,ouオウ,o(su)お(す),push,N3
712,軽,keiケイ,karu(i)かる(い),lightly; trifling; unimportant,N2
713,倒,touトウ,tao(reru)たお(れる),"overthrow, fall, collapse",N3
714,,,,,
715,了,ryouリョウ,,complete; finish,N2
716,庁,chouチョウ,yakushoやくしょ,government office,N2
717,博,"haku, bakuハク、バク",,"Dr., command, esteem, Ph.D.",N1
718,城,"jou, seiジョウ、 セイ",shiroしろ,castle,N2
719,患,kanカン,wazura(u)わずら(う),afflicted; disease; suffer from; be ill,N2
720,等,touトウ,"hito(shii), nadoひと(しい)、など","etc., and so forth",N3
721,層,souソウ,,stratum; social class; layer; story; floor,N2
722,版,hanハン,,printing block; edition; impression; label,N2
723,老,rouロウ,"o(iru), fu(keru)お(いる)、ふ(ける)",old,N3
724,令,reiレイ,,orders; command; decree,N2
725,角,kakuカク,"kado, tsunoかど、 つの",angle; corner; square,N2
726,絡,rakuラク,kara(mu)から(む),entwine; coil around; get caught in,N2
727,損,sonソン,soko(nau)そこ(なう),damage; loss; disadvantage; hurt; injure,N2
728,募,boボ,tsuno(ru)つの(る),recruit; campaign,N2
729,曲,kyokuキョク,ma(garu)ま(がる),"bend, music, melody",N3
730,裏,riリ,uraうら,back; reverse; inside; rear,N2
731,払,,hara(u)はら(う),pay,N3
732,庭,teiテイ,niwaにわ,"courtyard, garden, yard",N3
733,徒,toト,"itazura, adaいたずら、 あだ","on foot, junior, vanity, futility, uselessness",N3
734,仏,butsuブツ,hotokeほとけ,Buddha; the dead,N2
735,績,sekiセキ,,exploits; achievements,N2
736,築,chikuチク,kizu(ku)きず(く),fabricate; build; construct,N2
737,貨,kaカ,,freight; goods; property,N2
738,,,,,
739,混,konコン,ma(jiru)ま(じる),mix; blend; confuse,N2
740,昇,shouショウ,nobo(ru)のぼ(る),rise up,N2
741,池,chiチ,ikeいけ,pond; pool; reservoir,N2
742,勤,"kin, gonキン、ゴン",tsuto(meru)つと(める),"diligence, employed, serve",N3
743,血,ketsuケツ,chiち,blood,N2
744,遅,chiチ,"oku(reru), oso(i)おく(れる)、 おそ(い)","slow, late, back, later",N3
745,居,"kyo, koキョ、コ","i(ru), o(ru)い(る)、お(る)","reside, to be, exist",N3
746,温,onオン,"atata(kai), nukuあたた(かい)、ぬく",warm,N2
747,雑,"zatsu, zouザツ、ゾウ",maji(ru)まじ(る),miscellaneous,N3
748,招,shouショウ,mane(ku)まね(く),"invite, summon, engage",N3
750,困,konコン,koma(ru)こま(る),"quandary, become distressed",N3
751,星,seiセイ,hoshiほし,star,N2
752,永,eiエイ,naga(i)なが(い),eternity; long; lengthy,N2
753,著,"cho, chakuチョ、 チャク","arawa(su), ichijiru(shii)あらわ(す)、 いちじる(しい)",renowned; publish; write,N2
754,誌,shiシ,,document; records,N2
755,庫,"ko, kuコ、 ク",kuraくら,warehouse; storehouse,N2
756,刊,kanカン,,publish; carve; engrave,N2
757,像,zouゾウ,,statue; picture; image; figure,N2
758,香,"kou, kyouコウ、 キョウ",kao(ri)かお(り),incense; smell; perfume,N2
759,欠,"ketsu, kenケツ、ケン",ka(keru)か(ける),"lack, gap",N3
760,更,kouコウ,"sara(ni), fu(keru)さら(に)、ふ(ける)","renew, renovate, again",N3
761,坂,hanハン,sakaさか,slope; incline; hill,N2
762,刻,kokuコク,kiza(mu)きざ(む),"engrave, cut fine, chop",N3
763,底,teiテイ,sokoそこ,bottom; sole; depth; bottom price,N2
764,賛,sanサン,,"approve, praise",N3
765,抱,houホウ,"da(ku), ida(ku), kaka(eru)だ(く)、いだ(く)、かか(える)","embrace, hug",N3
766,服,fukuフク,,"clothing, admit, obey",N4
767,犯,hanハン,oka(su)おか(す),"crime, sin, offense",N3
768,布,fuフ,"nuno, shi(ku)ぬの、 し(く)",linen; cloth; spread; distribute,N2
769,,,,,
770,,,,,
771,恐,kyouキョウ,"oso(reru), kowa(i)おそ(れる)、こわ(い)","fear, dread",N3
772,寺,jiジ,teraてら,Buddhist temple,N2
773,息,"musu, sokuムス、ソク",ikiいき,"breath, son, interest (on money)",N3
774,宇,uウ,,eaves; roof; house; heaven,N2
775,遠,"en, onエン",too(i)とお(い),"distant, far",N3
776,戻,reiレイ,modo(ru)もど(る),"re-, return, revert",N3
777,巨,kyoキョ,,gigantic; big; large; great,N2
778,震,shinシン,furu(u)ふる(う),quake; shake; tremble; quiver,N2
779,願,ganガン,nega(u)ねが(う),"petition, request, wish",N3
780,絵,"kai, eカイ、エ",,"picture, drawing",N3
781,希,kiキ,"mare, koinega(u)まれ、 こいねが(う)",hope; beg; request; pray,N2
782,越,etsuエツ,ko(su)こ(す),"surpass, cross over, move to, exceed",N3
783,欲,yokuヨク,ho(shii)ほ(しい),"longing, greed, passion",N3
784,痛,tsuuツウ,ita(i)いた(い),"pain, hurt, damage, bruise",N3
785,触,shokuショク,"fu(reru), sawa(ru)ふ(れる)、 さわ(る)",contact; touch; feel; hit; proclaim; announce,N2
786,籍,sekiセキ,,enroll; register; membership,N2
787,汚,oオ,"yogo(su), kitana(i), kega(su)よご(す)、 きたな(い)、 けが(す)",dirty; pollute; disgrace; defile,N2
788,枚,"mai, baiマイ、 バイ",,sheet of...; counter for flat thin objects,N2
789,笑,shouショウ,"wara(u), e(mu)わら(う)、え(む)",laugh,N3
790,互,goゴ,"taga(i), katami(ni)たが(い)、かたみ(に)","mutually, reciprocally, together",N3
791,複,fukuフク,,duplicate; double; compound; multiple,N2
792,郵,yuuユウ,,mail; stagecoach stop,N2
793,束,sokuソク,"taba, tsukaたば、つか","bundle, manage",N3
794,仲,chuuチュウ,nakaなか,go-between; relationship,N2
795,栄,eiエイ,saka(eru)さか(える),flourish; prosperity; honor,N2
796,札,satsuサツ,fudaふだ,ticket; paper money; banknote; note,N2
797,似,"ji, neジ、ね",ni(ru)に(る),"becoming, resemble, imitate",N3
798,夕,(none),yuuゆう,evening,N4
799,板,"han, banハン、 バン",itaいた,plank; board; plate; stage,N2
800,,,,,
801,列,"retsu, reレツ、レ",,"file, row, column",N3
802,探,tanタン,"sagu(ru), saga(su)さぐ(る)、さが(す)","search, look for",N3
803,逃,touトウ,"ni(geru), noga(su)に(げる)、のが(す)","escape, flee",N3
804,借,shakuシャク,ka(riru)か(りる),"borrow, rent",N4
805,骨,kotsuコツ,honeほね,skeleton; bone; remains; frame,N2
806,傾,keiケイ,katamu(ku)かたむ(く),lean; incline; tilt; trend; bias,N2
807,届,kaiカイ,todo(keru)とど(ける),deliver; reach; arrive; report,N2
808,曜,youヨウ,,weekday,N4
809,遊,yuuユウ,aso(bu)あそ(ぶ),play,N3
810,迷,meiメイ,mayo(u)まよ(う),"astray, be perplexed, in doubt, lost",N3
811,夢,muム,yumeゆめ,"dream, vision",N3
812,巻,kanカン,"ma(ku), makiま(く)、 まき",scroll; volume; book; part; roll up; wind up; coil; counter for texts (or book scrolls),N2
813,購,kouコウ,,"subscription, buy",N1
814,君,kunクン,kimiきみ,"you, male name suffix",N3
815,燃,nenネン,mo(eru)も(える),burn; blaze; glow,N2
816,雨,uウ,"ame, amaあめ、 あま",rain,N5
817,閉,heiヘイ,"to(jiru), shi(meru)と(じる)、し(める)","closed, shut",N3
818,,,,,
819,緒,shoショ,oお,"beginning, end, cord, strap",N3
820,跡,sekiセキ,atoあと,tracks; mark; print; impression,N2
821,包,houホウ,"tsutsu(mu), kuru(mu)つつ(む)、 くる(む)",wrap; pack up; cover; conceal,N2
822,駐,chuuチュウ,,stop-over; reside in; resident,N2
823,弱,jakuジャク,yowa(i)よわ(い),weak; frail,N2
824,折,"setsu, shakuセツ、シャク","o(ru), oriお(る)、おり","fold, break, fracture",N3
825,紹,shouショウ,,introduce; inherit; help,N2
826,草,souソウ,kusaくさ,"grass, weeds, herbs",N3
827,飲,inイン,no(mu)の(む),drink,N4
828,雇,koコ,yato(u)やと(う),employ; hire,N2
829,暮,boボ,ku(rasu)く(らす),"evening, livelihood",N3
830,替,taiタイ,ka(waru)か(わる),"exchange, spare, substitute",N2
831,預,yoヨ,azu(keru)あず(ける),deposit; custody; leave with; entrust to,N2
832,,,,,
833,焼,shouショウ,ya(ku)や(く),bake; burning,N2
834,簡,kanカン,era(bu)えら(ぶ),simplicity; brevity,N2
835,肉,nikuニク,,meat,N4
836,章,shouショウ,,badge; chapter; composition; poem,N2
837,臓,zouゾウ,harawataはらわた,entrails; viscera; bowels,N2
838,律,"ritsu, richiリツ、 リチ",,rhythm; law; regulation; control,N2
839,貸,taiタイ,"ka(su), kashiか(す)、 かし",lend,N4
840,贈,zouゾウ,oku(ru)おく(る),presents; send; give to; award to,N2
841,照,shouショウ,te(ru)て(る),illuminate; shine; compare,N2
842,酒,shuシュ,"sake, saka-さけ、さか-","sake, alcohol",N3
843,薄,hakuハク,usu(i)うす(い),dilute; thin; weak (tea),N2
844,堂,douドウ,,"public chamber, hall",N4
845,群,gunグン,"mu(reru), mura(garu)む(れる)、 むら(がる)",flock; group; crowd; herd,N2
846,悲,hiヒ,kana(shii)かな(しい),"grieve, sad",N3
847,秒,byouビョウ,,second,N2
848,奥,ouオウ,okuおく,heart; interior,N2
849,詰,kitsuキツ,tsu(meru)つ(める),packed; close; rebuke; blame,N2
850,晴,seiセイ,ha(reru)は(れる),clear up,N3
851,掛,keiケイ,ka(keru)か(ける),"hang, suspend",N3
852,双,souソウ,futaふた,pair; set; comparison; counter for pairs,N2
853,刺,shiシ,"sa(su), togeさ(す)、 さし、 とげ","thorn, pierce, stab, prick, sting",N2
854,到,touトウ,ita(ru)いた(る),"arrival, proceed, reach",N3
855,寝,shinシン,ne(ru)ね(る),"lie down, sleep, rest",N3
856,暗,anアン,kura(i)くら(い),"darkness, disappear, shade, informal",N3
857,鳥,chouチョウ,toriとり,"bird, chicken",N4
858,純,junジュン,,genuine; purity; innocence,N2
859,飯,hanハン,meshiめし,"meal, rice",N4
860,盗,touトウ,nusu(mu)ぬす(む),"steal, rob",N3
861,吸,kyuuキュウ,su(u)す(う),"suck, inhale",N3
862,勉,benベン,tsuto(meru)つと(める),"exertion, endeavor, effort",N4
863,,,,,
864,翌,yokuヨク,,the following; next,N2
865,陽,youヨウ,hiひ,"sunshine, positive",N3
866,快,kaiカイ,kokoroyo(i)こころよ(い),cheerful; pleasant; agreeable; comfortable,N2
867,片,henヘン,kataかた,one-sided; piece,N2
868,敬,keiケイ,uyama(u)うやま(う),awe; respect; honor; revere,N2
869,悩,nouノウ,naya(mu)なや(む),trouble; worry; in pain; distress; illness,N2
870,泉,senセン,izumiいずみ,spring; fountain,N2
871,御,"gyo, goギョ、ゴ","on, oおん、お",honorable,N3
872,冬,touトウ,fuyuふゆ,winter,N4
873,,,,,
874,皮,hiヒ,kawaかわ,skin; hide; leather,N2
875,漁,"gyo, ryouギョ、 リョウ",asa(ru)あさ(る),fishing; fishery,N2
876,荒,kouコウ,"ara(i), a(reru)あら(い)、あ(れる)",rough; wild,N2
877,貯,choチョ,ta(meru)た(める),savings; store,N2
878,硬,kouコウ,kata(i)かた(い),stiff; hard,N2
879,歯,shiシ,haは,"tooth, cog",N3
880,埋,maiマイ,u(meru)う(める),bury; be filled up; embedded,N2
881,昼,chuuチュウ,hiruひる,"daytime, noon",N4
882,茶,"cha, saチャ、 サ",,tea,N4
883,柱,chuuチュウ,hashiraはしら,pillar; post; cylinder; support,N2
884,祭,saiサイ,matsuriまつり,ritual; offer prayers; celebrate,N2
885,袋,taiタイ,fukuroふくろ,sack; bag; pouch,N2
886,忘,bouボウ,wasu(reru)わす(れる),forget,N3
887,雪,setsuセツ,yukiゆき,snow,N3
888,筆,hitsuヒツ,fudeふで,writing brush; writing; painting brush; handwriting,N2
889,吹,suiスイ,fu(ku)ふ(く),"blow, breathe, puff",N3
890,訓,kunクン,"yo(mu), kun(zuru)よ(む)、くん(ずる)","instruction, explanation, read",N2
891,浴,yokuヨク,a(biru)あ(びる),bathe; be favored with; bask in,N2
892,童,douドウ,warabeわらべ,juvenile; child,N2
893,宝,houホウ,takaraたから,treasure; wealth; valuables,N2
894,封,"fuu, houフウ、 ホウ",,seal; closing,N2
895,,,,,
897,娘,jouジョウ,"musume, koむすめ、こ","daughter, girl",N3
898,砂,"sa, shaサ、 シャ",sunaすな,sand,N2
899,塩,enエン,shioしお,salt,N2
900,誤,goゴ,ayama(ru)あやま(る),mistake,N3
901,賢,kenケン,kashiko(i)かしこ(い),intelligent; wise; wisdom; cleverness,N2
902,弟,"tei, dai, deテイ、 ダイ、 デ",otoutoおとうと,younger brother,N4
903,腕,wanワン,udeうで,arm; ability; talent,N2
904,洗,senセン,ara(u)あら(う),wash,N3
905,兆,chouチョウ,kiza(su)きざ(す),trillion; sign; omen; symptoms,N2
906,床,shouショウ,"toko, yukaとこ、 ゆか",bed; counter for beds; floor; padding; tatami,N2
907,慣,kanカン,na(reru)な(れる),"accustomed, get used to",N3
908,毛,mouモウ,keけ,fur; hair; feather,N2
909,緑,"ryoku, rokuリョク、 ロク",midoriみどり,green,N2
910,尊,sonソン,touto(i)とうと(い),revered; valuable; precious; noble,N2
911,祝,shukuシュク,iwa(u)いわ(う),celebrate; congratulate,N2
912,礼,"rei, raiレイ、ライ",,"salute, bow, ceremony, thanks",N3
913,窓,souソウ,madoまど,"window, pane",N3
914,柔,"juu, nyuuジュウ、 ニュウ",yawa(rakai)やわ(らかい),tender; weakness; gentleness; softness,N2
915,昔,"seki, shakuセキ、シャク",mukashiむかし,"once upon a time, old times",N3
916,殿,denデン,"tono, donoとの、 どの",Mr.; hall; mansion; palace; temple; lord,N2
917,濃,nouノウ,ko(i)こ(い),concentrated; thick; dark; undiluted,N2
918,牛,gyuuギュウ,ushiうし,cow,N4
919,魚,gyoギョ,"uo, sakanaうお、 さかな",fish,N4
920,液,ekiエキ,,fluid; liquid; juice; sap; secretion,N2
921,貧,"hin, binヒン、ビン",mazu(shii)まず(しい),"poverty, poor",N3
922,衣,"i, eイ、 エ","koromo, kinuころも、 きぬ",garment; clothes; dressing,N2
923,,,,,
924,肩,kenケン,kataかた,shoulder,N2
925,零,reiレイ,zeroぜろ,zero; spill; overflow; nothing,N2
926,兄,"kyou, keiキョウ、 ケイ",aniあに,elder brother,N4
927,,,,,
928,怒,doド,"ika(ru), oko(ru)いか(る)、 おこ(る)","angry, be offended",N3
929,泳,eiエイ,oyo(gu)およ(ぐ),swim,N3
930,祖,soソ,,"ancestor, pioneer, founder",N3
931,幼,youヨウ,osana(i)おさな(い),infancy; childhood,N2
932,荷,kaカ,niに,baggage; load; cargo; freight,N2
933,泊,hakuハク,to(maru)と(まる),overnight stay,N2
934,杯,haiハイ,sakazukiさかずき,"glass, cup",N3
935,黄,"kou, ouコウ、 オウ",kiき,yellow,N2
936,甘,kanカン,ama(i)あま(い),sweet; coax; pamper; sugary,N2
937,臣,"shin, jinシン、 ジン",,retainer; subject,N2
938,浅,senセン,asa(i)あさ(い),shallow; superficial; frivolous,N2
939,掃,souソウ,ha(ku)は(く),sweep; brush,N2
940,雲,unウン,kumoくも,cloud,N2
941,掘,kutsuクツ,ho(ru)ほ(る),dig; delve; excavate,N2
942,疲,hiヒ,tsuka(reru)つか(れる),"exhausted, tire",N3
943,捨,shaシャ,su(teru)す(てる),discard; throw away; abandon,N2
944,皆,kaiカイ,"mina, minnaみな、 みんな","all, everyone, everybody",N3
945,軟,nanナン,yawa(rakai)やわ(らかい),soft,N2
946,沈,"chin, jinチン、 ジン",shizu(mu)しず(む),sink; be submerged; subside; be depressed,N2
947,鳴,meiメイ,"na(ku), na(ru)な(く)、な(る)","chirp, cry, bark",N3
948,凍,touトウ,"koo(ru), kogo(eru)こお(る)、 こご(える)",frozen; refrigerate,N2
949,腹,fukuフク,haraはら,"abdomen, belly, stomach",N3
950,乳,nyuuニュウ,"chichi, chiちち、ち","milk, breasts",N2
951,煙,enエン,"kemu(ru), kemuriけむ(る)、けむり",smoke,N3
952,恋,renレン,koi(shii)こい(しい),romance; in love; yearn for; miss,N2
953,紅,"kou, kuコウ、 ク","beni, kurenaiべに、 くれない",crimson; deep red,N2
954,郊,kouコウ,,"outskirts, suburbs, rural area",N2
955,腰,youヨウ,koshiこし,loins; hips; waist,N2
956,炭,tanタン,sumiすみ,charcoal; coal,N2
957,踊,youヨウ,odo(ru)おど(る),jump; dance; leap; skip,N2
958,,,,,
959,冊,satsuサツ,,counter for books; volume,N2
960,眠,minミン,nemu(ru)ねむ(る),sleep,N3
961,勇,yuuユウ,isa(mu)いさ(む),courage; cheer up; bravery; heroism,N2
962,械,kaiカイ,,contraption; machine; instrument,N2
963,憶,okuオク,,"recollection, think, remember",N1
964,怖,fuフ,"kowa(i), o(jiru)こわ(い)、お(じる)","dreadful, fearful",N3
965,犬,kenケン,inuいぬ,dog,N4
966,菜,saiサイ,naな,vegetable; side dish; greens,N2
967,耳,jiジ,mimiみみ,ear,N3
968,珍,chinチン,mezura(shii)めずら(しい),rare; curious; strange,N2
969,卵,ranラン,tamagoたまご,egg,N2
970,湖,koコ,mizuumiみずうみ,lake,N2
971,喫,kitsuキツ,no(mu)の(む),"consume, eat, drink, smoke, receive",N2
972,干,kanカン,"ho(su), hi(ru)ほ(す)、 ひ(る)",dry; parch,N2
973,頂,chouチョウ,itada(ku)いただ(く),"receive, top, summit, peak",N3
974,虫,"chuu, kiチュウ、 キ",mushiむし,insect; bug,N2
975,刷,satsuサツ,"su(ru), ha(ku)す(る)、 は(く)",printing; print; brush,N2
976,湯,touトウ,yuゆ,hot water; bath; hot spring,N2
977,箱,souソウ,hakoはこ,"box, chest",N3
978,溶,youヨウ,to(keru)と(ける),melt; dissolve; thaw,N2
979,鉱,kouコウ,araganeあらがね,mineral; ore,N2
980,涙,ruiルイ,namidaなみだ,tears; sympathy,N2
981,匹,hitsuヒツ,hikiひき,counter for small animals,N2
982,孫,sonソン,magoまご,grandchild; descendants,N2
983,鋭,eiエイ,surudo(i)するど(い),pointed; sharpness; edge; weapon; sharp; violent,N2
984,枝,shiシ,edaえだ,bough; branch; twig; limb; counter for branches,N2
985,塗,toト,"nu(ru), nu(ri)ぬ(る)、 ぬ(り)",paint; smear; coating,N2
